timestamp,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,speed_ratio,delay_time,date,time,location
2025-04-25 10:17:51.772776,28.6129,77.2295,FRC1,30,38,193,153,0.7894736842105263,40,2025-04-25,10:17:51.772776,"India Gate, Delhi, India"
2025-04-25 10:17:52.452420,19.076,72.8777,FRC4,12,18,220,146,0.6666666666666666,74,2025-04-25,10:17:52.452420,"Mumbai, India"
2025-04-25 10:17:53.426036,12.9716,77.5946,FRC2,17,26,2042,1335,0.6538461538461539,707,2025-04-25,10:17:53.426036,"Bangalore, India"
2025-04-25 10:17:54.169114,13.0827,80.2707,FRC2,16,24,584,389,0.6666666666666666,195,2025-04-25,10:17:54.169114,"Chennai, India"
2025-04-25 10:17:54.824801,22.5726,88.3639,FRC3,17,23,191,141,0.7391304347826086,50,2025-04-25,10:17:54.824801,"Kolkata, India"
2025-04-25 10:17:55.813758,26.8467,80.9462,FRC2,22,30,2506,1837,0.7333333333333333,669,2025-04-25,10:17:55.813758,"Lucknow, India"
2025-04-25 10:17:56.540492,23.2599,77.4126,FRC4,21,21,468,468,1.0,0,2025-04-25,10:17:56.540492,"Bhopal, India"
2025-04-25 10:17:57.337679,30.7333,76.7794,FRC3,21,21,3,3,1.0,0,2025-04-25,10:17:57.337679,"Chandigarh, India"
2025-05-05 20:28:22.934962,27.1767,78.0081,FRC2,18,31,1019,592,0.5806451612903226,427,2025-05-05,20:28:22.934962,"Taj Mahal, India"
2025-05-05 20:28:23.435286,27.1879,78.0129,FRC2,19,27,1232,867,0.7037037037037037,365,2025-05-05,20:28:23.435286,"Agra Fort, India"
2025-05-05 20:28:23.991266,28.6129,77.2295,FRC1,31,39,187,149,0.7948717948717948,38,2025-05-05,20:28:23.991266,"India Gate, Delhi, India"
2025-05-05 20:28:24.651362,19.076,72.8777,FRC4,12,18,220,146,0.6666666666666666,74,2025-05-05,20:28:24.651362,"Mumbai, India"
2025-05-05 20:28:25.211789,12.9716,77.5946,FRC2,18,26,1929,1335,0.6923076923076923,594,2025-05-05,20:28:25.211789,"Bangalore, India"
2025-05-05 20:28:25.750326,13.0827,80.2707,FRC2,14,24,667,389,0.5833333333333334,278,2025-05-05,20:28:25.750326,"Chennai, India"
2025-05-05 20:28:26.304909,22.5726,88.3639,FRC3,23,23,141,141,1.0,0,2025-05-05,20:28:26.304909,"Kolkata, India"
2025-05-05 20:28:26.965151,26.8467,80.9462,FRC2,21,30,2625,1837,0.7,788,2025-05-05,20:28:26.965151,"Lucknow, India"
2025-05-05 20:28:27.470961,23.2599,77.4126,FRC4,13,21,756,468,0.6190476190476191,288,2025-05-05,20:28:27.470961,"Bhopal, India"
2025-05-05 20:28:27.985023,30.7333,76.7794,FRC3,5,22,15,3,0.2272727272727272,12,2025-05-05,20:28:27.985023,"Chandigarh, India"
2025-05-06 14:06:19.426693,27.1767,78.0081,FRC2,19,31,966,592,0.6129032258064516,374,2025-05-06,14:06:19.426693,"Taj Mahal, India"
